epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,10989.7,0.45442,0.27287,0.86806,0.99329,0.994,0.99418,0.95909,0.31911,0.17832,0.82737,0.000812,0.000812,0.000812
62,11177.4,0.45193,0.27407,0.86911,0.99234,0.99294,0.99368,0.95618,0.32153,0.1815,0.82884,0.0007922,0.0007922,0.0007922
63,11364.5,0.4441,0.26657,0.86482,0.99336,0.994,0.99428,0.95782,0.32345,0.17921,0.82784,0.0007724,0.0007724,0.0007724
64,11545.2,0.44961,0.26917,0.86631,0.99301,0.99387,0.99419,0.95863,0.31416,0.17543,0.82222,0.0007526,0.0007526,0.0007526
65,11736.3,0.44449,0.26755,0.86608,0.99235,0.99433,0.99349,0.95481,0.32415,0.17809,0.82824,0.0007328,0.0007328,0.0007328
66,11926.7,0.44531,0.26708,0.86594,0.99324,0.99333,0.994,0.95778,0.31892,0.1762,0.82589,0.000713,0.000713,0.000713
67,12123,0.44568,0.26729,0.86743,0.99136,0.99443,0.99426,0.95689,0.31862,0.17486,0.82732,0.0006932,0.0006932,0.0006932
68,12291.5,0.44165,0.26071,0.86396,0.99423,0.994,0.99387,0.9568,0.31452,0.1716,0.82156,0.0006734,0.0006734,0.0006734
69,12487.1,0.44039,0.2611,0.86335,0.99268,0.994,0.99428,0.95949,0.3138,0.17356,0.82384,0.0006536,0.0006536,0.0006536
70,12672.8,0.43703,0.26091,0.86477,0.99268,0.99427,0.99419,0.95925,0.31571,0.17193,0.82293,0.0006338,0.0006338,0.0006338
71,12854.6,0.43571,0.26021,0.86352,0.99332,0.99467,0.99423,0.9605,0.31048,0.1709,0.82319,0.000614,0.000614,0.000614
72,13044.3,0.43934,0.26289,0.86676,0.99309,0.99333,0.99414,0.96042,0.3071,0.17023,0.81989,0.0005942,0.0005942,0.0005942
73,13236.2,0.43307,0.25671,0.86349,0.99237,0.99333,0.99396,0.96009,0.30905,0.17073,0.823,0.0005744,0.0005744,0.0005744
74,13423,0.43474,0.25862,0.86304,0.99334,0.99497,0.99393,0.96121,0.30598,0.16818,0.82037,0.0005546,0.0005546,0.0005546
75,13607.7,0.42655,0.25449,0.86048,0.9936,0.99367,0.99365,0.9596,0.30883,0.168,0.82032,0.0005348,0.0005348,0.0005348
76,13795.7,0.43131,0.25446,0.86312,0.99367,0.99453,0.99359,0.95988,0.30652,0.16698,0.81937,0.000515,0.000515,0.000515
